,라벨명,등장 횟수,평균 스코어,표준편차,최대 스코어,최소 스코어
242,Coin (dropping),4,0.21648173034191132,0.23375404564946967,0.35144463181495667,0.060779958963394165
243,Breaking,4,0.08353239390999079,0.048535962996331866,0.11714649945497513,0.05587955191731453
244,Plop,4,0.5072469413280487,0.4938740580635296,0.7638799548149109,0.1870221197605133
245,Splinter,4,0.08425475843250751,0.016265581807003715,0.09334798902273178,0.07117509096860886
246,Toothbrush,4,0.6703886240720749,0.6681345976200546,0.9412068724632263,0.11042547225952148
247,"Burping, eructation",4,0.5232633166015148,0.75376602793382,0.9359586238861084,0.08370058238506317
248,"Whoosh, swoosh, swish",4,0.05979659128934145,0.015797034703906487,0.06899739801883698,0.05090347304940224
249,Wild animals,4,0.23590577207505703,0.35531471744930665,0.5268923044204712,0.08198866248130798
250,"Roaring cats (lions, tigers)",4,0.14717797376215458,0.1643206784959339,0.2851235568523407,0.07728971540927887
251,Heart murmur,4,0.08764161635190248,0.05044112364556513,0.11473700404167175,0.05008033290505409
252,Piano,4,0.15173418261110783,0.10182556474879245,0.23042544722557068,0.08966716378927231
253,Fowl,4,0.1139638302847743,0.12885919264698403,0.21733419597148895,0.05104069784283638
254,Bark,4,0.07435531914234161,0.04004264552856382,0.09979213029146194,0.052437420934438705
255,"Chuckle, chortle",4,0.16803202964365482,0.20444834166330664,0.3419354557991028,0.08412715047597885
256,Fire,4,0.0785823855549097,0.03156810032775298,0.1029631495475769,0.06419447064399719
257,Female singing,4,0.07363945338875055,0.04766442982248022,0.11486140638589859,0.05827820673584938
258,Whir,4,0.06495755631476641,0.019716713504810753,0.08009818941354752,0.05247509852051735
259,Vibraphone,4,0.1390297431498766,0.0894157057752476,0.18673066794872284,0.08050026744604111
260,Moo,4,0.10632033087313175,0.09312958016917987,0.16869142651557922,0.054899923503398895
261,Shatter,4,0.10785181075334549,0.10331211812489288,0.1922687292098999,0.06323762238025665
262,Gospel music,4,0.11029992531985044,0.11304851137572795,0.1918582320213318,0.05555463209748268
263,Bleat,4,0.17393840104341507,0.2449515246805933,0.31522542238235474,0.050416890531778336
264,Electronic music,4,0.10754540655761957,0.11110950963151266,0.20147746801376343,0.058571647852659225
265,Jingle bell,4,0.1716061793267727,0.1460864650131938,0.2793903350830078,0.08362077176570892
266,Skidding,4,0.09657296258956194,0.09998684521372388,0.18126967549324036,0.05138998106122017
267,Jackhammer,4,0.31082802079617977,0.36337855748065534,0.5114699006080627,0.11706400662660599
268,Tuning fork,3,0.1287317325671514,0.12727192818412916,0.23262876272201538,0.07501482963562012
269,Chainsaw,3,0.1458671639362971,0.09695396717570978,0.2220420241355896,0.08912286162376404
270,Engine starting,3,0.129071906208992,0.10106635205402063,0.20949487388134003,0.07285062968730927
271,Hoot,3,0.13226680954297385,0.1998418388563872,0.2954363524913788,0.05028774216771126
272,Crackle,3,0.06313098967075348,0.008468647958939599,0.06971157342195511,0.058001965284347534
273,Tambourine,3,0.11309168736139934,0.06812806728091357,0.16422882676124573,0.06856364756822586
274,Boiling,3,0.10596993565559387,0.11925570006452882,0.20331618189811707,0.05536232143640518
275,Spray,3,0.15513747682174048,0.16417515750073458,0.2887653410434723,0.07913460582494736
276,Gush,3,0.08638320490717888,0.04414150213094627,0.11479133367538452,0.05297055467963219
277,Squeak,3,0.14434104536970457,0.20011882841302836,0.3071683645248413,0.05112819746136665
278,Telephone,3,0.13162370522816977,0.11365209744219108,0.22407571971416473,0.07847899943590164
279,Whistle,3,0.13715695589780807,0.17589415538685108,0.2807328402996063,0.062393948435783386
280,Growling,3,0.091959231843551,0.04458637055302404,0.12382414191961288,0.06078070029616356
281,Purr,3,0.20957213640213013,0.20932312968486935,0.36796870827674866,0.0747772604227066
282,Train whistle,3,0.057250836243232094,0.002994497022084198,0.05859427899122238,0.054809968918561935
283,"Walk, footsteps",3,0.06575791165232658,0.015564318600839705,0.07771630585193634,0.0560542531311512
284,"Canidae, dogs, wolves",3,0.06434463957945506,0.020125345190643105,0.08021115511655807,0.05270935222506523
285,Ding-dong,3,0.10406361147761345,0.08816553906044247,0.17374901473522186,0.05358314886689186
286,Caterwaul,3,0.2008038510878881,0.10852311217788385,0.2807345688343048,0.12771835923194885
